Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.175,23.76,90,B
C2,-3.18,23.79,90,B
C3,-1.59,12.61,0,B
C4,-1.625,17.55,0,B
C5,-3.065,21.65,-90,B
C6,0.64,20.445,0,B
C7,-36.27,-9.16,90,B
C9,-33,5.995,0,B
C10,-32.365,11.635,-90,B
C11,10.47,7.99,0,B
C12,-0.195,4.855,90,B
C13,-1.13,4.86,90,B
C14,2.295,4.5,-90,B
C15,3.24,4.475,-90,B
C16,10.46,6.985,180,B
C17,25.575,18.66,180,B
C18,25.585,17.665,180,B
C19,25.655,16.58,180,B
C20,25.56,14.545,180,B
C21,25.735,7.245,180,B
C22,26.105,13.085,90,B
C23,25.045,13.075,90,B
C24,22.475,8.94,-90,B
C25,-29.43,9.635,180,B
C26,25.58,15.55,180,B
C27,-37.92,1.835,0,B
C29,-31.695,3.84,90,B
C33,-35.5,8.855,-90,B
C37,13.39,27.91,0,B
C38,-36.115,5.745,90,B
C40,-34.81,12.5,0,B
C41,-34.795,13.495,0,B
D1,-27.615,7.615,-90,B
D2,-29.34,15.0025,90,B
D3,-16.195,4.305,-90,B
D4,19.815001,4.13,90,B
D5,18.265001,4.1225,90,B
D6,21.29,8.695,90,B
D7,-5.0475,3.025,180,B
D8,16.730001,4.145,90,B
D9,15.175001,4.145,90,B
D10,-30,19.17,-90,B
D14,-3,30.5,180,B
D15,3,30.5,180,B
J1,-35.439999,19.68,90,B
J2,26.32,-0.43,-90,B
J3,-35.5,-3,-90,B
L5,-38.19,12.39,0,B
Q2,-27.42,10.825,180,B
Q3,5.935,23.515,0,B
R1,-3.28,9.175,0,B
R2,-3.28,8.415,0,B
R3,-4.62,15.555,180,B
R4,-4.625,14.725,180,B
R5,-3.41,15.125,90,B
R6,-4.14,21.675,90,B
R7,-11.015,4.79,-90,B
R8,-4.715,11.09,90,B
R9,-31.03,16.61,-90,B
R10,-30.915,21.985,90,B
R11,-7.145,3.065,180,B
R12,-4.61,18.94,0,B
R13,-4.584999,19.785,0,B
R14,-37.2,5.715,90,B
R15,-38.29,5.71,-90,B
R16,-25.815,7.644999,-90,B
R17,2.31,7.995001,90,B
R18,-3.155,2.735,-90,B
R19,-29.42,5.94,90,B
R20,-31.35,11.63,90,B
R21,-30.37,5.885,-90,B
R22,-27.184999,14.34,0,B
R23,-27.184999,13.27,0,B
R24,23.58,8.915001,90,B
R25,-39.47,5.78,90,B
R26,-33.025001,4.97,180,B
R27,-14.92,4.555,90,B
R28,-4.72,5.241,-90,B
R29,19.300001,2.245,180,B
R30,-27.38,3.315,180,B
R31,17.145,2.215,180,B
R32,3.27,7.990001,90,B
R33,2.775,6.21,0,B
R34,-17.48,4.575,90,B
R35,-19.935,4.78,-90,B
R36,-3.710001,28.94,180,B
R37,2.289999,28.92,180,B
R38,3.525,23.075,90,B
R39,5.042499,21.175,0,B
R40,12.965,26.315,90,B
R41,15.090001,2.215,180,B
R42,13.520001,2.72,90,B
R43,19.89,11.355,180,B
R44,22.34,12.565,0,B
R45,22.345,11.335,0,B
R46,-27.405,4.175,180,B
SW1,0.64,23.395,-90,B
